Airline,Month,Passengers_In,Passengers_Out
China Airlines,Sep,20752.0,25200.0
China Eastern Airlines,Apr,31263.0,33201.0
China Eastern Airlines,Aug,33170.0,35479.0
China Eastern Airlines,Dec,39130.0,50172.0
China Eastern Airlines,Feb,47541.0,40275.0
China Eastern Airlines,Jan,50330.0,41945.0
China Eastern Airlines,Jul,36012.0,29967.0
China Eastern Airlines,Jun,29729.0,33752.0
China Eastern Airlines,Mar,31185.0,29415.0
China Eastern Airlines,May,32392.0,33800.0
China Eastern Airlines,Nov,37204.0,41974.0
China Eastern Airlines,Oct,38057.0,35441.0
China Eastern Airlines,Sep,30961.0,34001.0
China Southern Airlines,Apr,54390.0,55228.0
China Southern Airlines,Aug,46541.0,46636.0
China Southern Airlines,Dec,66008.0,74824.0
China Southern Airlines,Feb,78942.0,68859.0
China Southern Airlines,Jan,84428.0,73956.0
China Southern Airlines,Jul,46644.0,42786.0
China Southern Airlines,Jun,41960.0,45516.0
China Southern Airlines,Mar,53269.0,49943.0
China Southern Airlines,May,45571.0,45594.0
China Southern Airlines,Nov,52067.0,53318.0
China Southern Airlines,Oct,46531.0,45043.0
China Southern Airlines,Sep,42619.0,43593.0
Citilink Indonesia,Dec,2142.0,4226.0
Citilink Indonesia,Nov,1043.0,1248.0
Delta Air Lines,Apr,7612.0,8135.0
Delta Air Lines,Aug,8028.0,7884.0
Delta Air Lines,Dec,8208.0,7613.0
Delta Air Lines,Feb,7590.0,6424.0
Delta Air Lines,Jan,8428.0,7372.0
Delta Air Lines,Jul,8549.0,7757.0
Delta Air Lines,Jun,8200.0,7692.0
Delta Air Lines,Mar,8289.0,8246.0
Delta Air Lines,May,8471.0,7377.0
Delta Air Lines,Nov,8174.0,7134.0
Delta Air Lines,Oct,8270.0,6677.0
Delta Air Lines,Sep,8002.0,7733.0
Donghai Airlines,Apr,282.0,209.0
Donghai Airlines,Aug,296.0,323.0
Donghai Airlines,Dec,190.0,458.0
Donghai Airlines,Feb,630.0,489.0
Donghai Airlines,Jan,720.0,421.0
Donghai Airlines,Jul,548.0,251.0
Donghai Airlines,Jun,240.0,293.0
Donghai Airlines,Mar,332.0,283.0
Donghai Airlines,May,215.0,179.0
Donghai Airlines,Nov,153.0,176.0
Donghai Airlines,Oct,309.0,337.0
Donghai Airlines,Sep,307.0,230.0
Emirates,Apr,101614.0,127882.0
Emirates,Aug,116802.0,128224.0
Emirates,Dec,133280.0,150758.0
Emirates,Feb,125534.0,88192.0
Emirates,Jan,173150.0,135101.0
Emirates,Jul,145940.0,111550.0
Emirates,Jun,105525.0,133714.0
Emirates,Mar,101540.0,120468.0
Emirates,May,94419.0,115627.0
